                                                                    random  random    bkwd   record   stride
                    KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
2013-02-25T15:03:00 64       8  695778  752329  3541098  2298136 3057153 1330167 2006158  2067979  2801873  1357066  1933893 3363612  2133730
2013-02-25T18:04:00 64       8  576282 1304314  3363612  3738358 3165299 1452528 2133730  2133730  2892445  1255511   901377 1933893  1734015
2013-02-25T21:04:00 64       8  653436 1255511  1780008  2067979 2892445 1249666 1204796  2133730  1638743  1210227  1033216 2561267  1722886
2013-02-26T00:04:00 64       8  546928  780776  2067979  2067979 2923952 1304314  174330  1933893   955947  1124074   901377 1357066  1460430
2013-02-26T03:04:00 64       8  444572 1255511  1562436  3588436 3203069 1879725 2203800  2222043  3057153  1163036  1255511 2801873  3022727
2013-02-26T06:03:00 64       8  688639 1083249  3057153  3541098 3165299 1392258 1991276  1991276  2923952  1392258  1452528 2467108  1599680
2013-02-26T09:04:00 64       8  645579 1049372  3588436  2133730 3057153 1330167 2222043  2006158  3057153  1421755  1002351 1421755  2006158
2013-02-26T12:04:00 64       8  615952 1879725  2278628  1933893 2923952 1210227 1304314  2006158  2278628  1304314   809014 1638743  2006158
2013-02-26T15:04:00 64       8  328238  926260  3738358  3738358 3203069 1947927 1429325  2203800  2467108  1460430  1049372 2772930  1991276
2013-02-26T18:04:00 64       8  571375 1780008  3791156  3057153 3057153 1879725 1204796  2133730  1638743  1648808   955947 1722886  2067979
2013-02-26T21:04:00 64       8  771797  877797  2772930  2358717 3203069 1279447 1599680  2203800  3057153  1879725  1947927 3363612   969761
2013-02-27T00:03:00 64       8  666414 1330167  3541098  3363612 3022727 1330167 1599680  1991276  2923952  1562436  1279447 2203800  3541098
2013-02-27T03:04:00 64       8  516414 1828508  3791156  2278628 3057153 1304314 2203800  2067979  1879725  1330167   913649 2278628  3588436
2013-02-27T06:04:00 64       8  555990 1210227  3057153   367817 3203069 1310683 1947927  2067979  2662899  1232453  1336792 2662899  3203069
2013-02-27T09:05:00 64       8  463774  447537  1363961  3363612 2067979 1879725 2203800  2203800  3057153  1991276  1933893 3406295  3738358
2013-02-27T12:04:00 64       8  725882  926260  3541098   998622 3022727 1330167  926260  2067979  2892445  1484662  1452528 3057153  3791156
2013-02-27T15:04:00 64       8  542506 1070292  2133730  2379626 3057153 1638743 1421755  2052169  2561267  1279447   703068 1330167  2298136
2013-02-27T18:04:00 64       8  771797 1828508  3791156  1780008 3057153 1947927 1828508  2203800  3203069  1232453  1232453 2467108  1310683
2013-02-27T21:04:00 64       8  769584 1363961  4018152  3738358 3057153 1421755 2358717  2052169  2923952   998622  1013707 1828508  3541098
2013-02-28T00:04:00 64       8  615952 1562436  4018152  2923952 3057153 1310683 2358717  2006158  2772930  1210227  1452528 2923952  3791156
2013-02-28T03:03:00 64       8  673098 1101022  1690338  4018152 3203069 1357066 1183548  2067979  3057153  1452528  1124074 2561267  3541098
2013-02-28T06:04:00 64       8  621657 1828508  4018152  4018152 3203069 1947927 1947927  2133730  2467108  1421755  1452528 3203069  3588436
2013-02-28T09:04:00 64       8  620221 1087638  3588436  3057153 2923952 1255511 1734015  2006158  2662899  1049372  1452528 3363612  3738358
2013-02-28T12:04:00 64       8  561808 1722886  2689580  2561267 3203069 1304314 1392258  2067979  3022727  1484662  1421755 1526887  3738358
2013-02-28T15:03:00 64       8  627470 1336792  3588436  2772930 3203069 1304314 1933893  2133730  2561267  1638743   969761 2892445  3363612
2013-02-28T18:03:00 64       8  688639 1049372  3791156  3791156 3057153 1421755 2358717  2067979  2662899  1357066  1330167 3203069  4274062
2013-02-28T21:04:00 64       8  688639 1780008  2662899  3958892 3057153 1363961 1492919  2067979  3022727  1357066  1933893 1879725  1526887
2013-03-01T00:04:00 64       8  720041 1828508  4018152  3738358 3203069 2006158 2203800  2203800  2892445  1484662   901377 2772930  3791156
2013-03-01T03:00:00 64       8  566551 1204796  3203069  3203069 1933893 1421755 1828508  1421755  2379626  1285575  1255511 2561267  1722886
2013-03-01T06:02:00 64       8  542506  942521  2923952  1638743 2444640 1392258 1638743  1599680  2203800  1492919  1421755 3203069  1526887
2013-03-01T09:02:00 64       8  598110 1105556  3022727  2892445 2133730 1310683 1879725  1460430  2203800  1460430  1210227 2358717  2772930
2013-03-01T12:02:00 64       8  565358 1101022  3203069  3057153 2222043 1421755 1879725  1452528   983980  1204796  1421755 1991276  1562436
2013-03-01T15:02:00 64       8  555990 1119387  2923952  2561267 3057153 1330167 1066042  1991276  2133730  1304314  1429325 2379626  1562436
2013-03-01T18:03:00 64       8  508587  418250  1780008  1933893 3203069 1330167 1879725  2006158  2278628   969761  1183548 2358717  2772930
2013-03-01T21:02:00 64       8  542506 1017549  3203069  2892445 2358717  955947 1526887  1679761  1947927   998622   874936 2358717  2561267
2013-03-02T00:03:00 64       8  541412 1101022  3057153  3022727 2067979 1421755 1828508  1484662  2379626  1279447  1188789 2561267  3791156
2013-03-02T03:03:00 64       8  551422 1124074  3022727  3738358 3057153  866463 1879725  1460430  2006158  1210227  1188789 2772930  2772930
